ds,y
2005-03-01,-0.5831890201671209
2005-04-01,0.14661788523215616
2005-05-01,-0.055410674227137316
2005-06-01,2.3224490295502878
2005-07-01,-0.5095406255050718
2005-08-01,-0.8558420466697261
2005-09-01,-1.0137800561611152
2005-10-01,-0.5292935929879896
2005-11-01,-0.18497697292399518
2005-12-01,0.9267419478773736
2006-01-01,-0.8113340919864787
2006-02-01,0.264847780913334
2006-03-01,-0.35427955709633946
2006-04-01,-0.07657990399787702
2006-05-01,1.0836218646582763
2006-06-01,-0.2875158909866164
2006-07-01,-1.188588808075004
2006-08-01,-1.1293186026666735
2006-09-01,-1.1082830526301186
2006-10-01,-0.8174265092280255
2006-11-01,0.9253811603874309
2006-12-01,0.36658204774883785
2007-01-01,-0.048798974228793236
2007-02-01,-0.2305302612280455
