date spi1 spi3 spi6 spi9 spi12 spi24
10/01/2012 -2.42 -1.42 0.86 0.24 0.07 -0.71
11/01/2012 0.49 -0.41 0.14 0.71 0.03 -0.13
12/01/2012 0.2 -0.52 -0.16 0.53 0.2 0.13
01/01/2013 -0.21 0.16 -0.8 0.62 0.2 0.13
02/01/2013 -0.08 -0.29 -0.75 -0.11 0.47 -0.17
03/01/2013 -1.18 -0.85 -1.22 -0.8 -0.02 -0.27
04/01/2013 -0.19 -1.13 -0.65 -1.43 -0.01 -0.37
05/01/2013 0.9 -0.3 -0.49 -1.05 -0.44 -0.24
06/01/2013 0.98 0.67 -0.1 -0.68 -0.36 0.04
07/01/2013 -1.91 0.81 -0.18 -0.15 -0.84 0.02
08/01/2013 1.89 1.12 0.36 0.12 -0.33 0.28
09/01/2013 -1.41 0.39 0.66 -0.04 -0.58 0.04
10/01/2013 -0.24 0.14 0.69 -0.27 -0.22 -0.17
11/01/2013 0.43 -0.28 0.34 -0.02 -0.24 -0.17
12/01/2013 0.82 0.26 0.29 0.61 0.02 0.1
01/01/2014 -1.78 0.08 -0.01 0.45 -0.25 -0.07
02/01/2014 0.08 -0.21 -0.58 0.11 -0.17 0.16
03/01/2014 -0.67 -1.04 -0.59 -0.49 -0.02 -0.1
04/01/2014 -0.73 -1.19 -0.75 -0.8 -0.2 -0.22
05/01/2014 -0.46 -1.45 -1.35 -1.78 -0.92 -1.06
06/01/2014 0.43 -0.8 -1.42 -1.33 -1.18 -1.24
07/01/2014 0.65 -0.11 -1.03 -0.85 -0.99 -1.44
08/01/2014 -0.73 0.22 -1.07 -1.11 -1.48 -1.43
09/01/2014 0.5 0.14 -0.73 -1.37 -1.27 -1.47
10/01/2014 1.97 1.89 1.41 0.44 0.3 0
11/01/2014 0.13 1.42 1.32 0.34 0.13 -0.11
12/01/2014 -0.21 1.27 1.23 0.48 -0.2 -0.17
01/01/2015 -0.77 -0.58 1.04 0.63 -0.08 -0.26
02/01/2015 1.08 0.05 1.42 1.16 0.27 0.01
03/01/2015 0.21 0.28 1.25 1.16 0.51 0.3
04/01/2015 -1.23 -0.2 -0.61 0.67 0.42 0.1
05/01/2015 -0.17 -0.94 -0.78 0.63 0.52 -0.32
06/01/2015 -1.2 -1.45 -0.81 0.27 0.22 -0.76
07/01/2015 -0.16 -0.73 -0.76 -1.08 0.09 -0.71
08/01/2015 2.02 0.43 -0.56 -0.54 0.59 -0.65
09/01/2015 1.29 1.76 -0.21 -0.07 0.85 -0.28
10/01/2015 1.75 2.5 1.72 1.33 0.69 0.63
11/01/2015 -0.34 1.3 1.29 0.56 0.46 0.33
12/01/2015 -0.03 0.9 1.52 0.47 0.51 0.16
01/01/2016 0.32 -0.4 1.8 0.96 0.77 0.41
02/01/2016 -0.08 -0.14 1.18 1.05 0.39 0.39
03/01/2016 -0.15 -0.11 0.63 1.19 0.28 0.53
04/01/2016 0.89 0.38 -0.07 1.66 1.01 0.99
05/01/2016 -0.98 -0.08 -0.22 0.94 0.89 0.96
06/01/2016 0.15 0.04 -0.16 0.47 1.04 0.92
07/01/2016 0 -0.8 -0.33 -0.61 1.07 0.84
08/01/2016 -1.56 -0.33 -0.32 -0.43 0.56 0.82
09/01/2016 0.3 -0.55 -0.23 -0.36 0.24 0.78
10/01/2016 0.58 0.26 -0.67 -0.35 -0.67 -0.02
11/01/2016 -0.87 -0.27 -0.62 -0.67 -0.79 -0.21
12/01/2016 0.86 0.09 -0.21 -0.24 -0.4 0.04
01/01/2017 -1.54 -0.76 -0.66 -1.04 -0.83 -0.04
02/01/2017 0.54 0.18 -0.3 -0.5 -0.56 -0.16
03/01/2017 -0.72 -0.73 -0.56 -0.76 -0.66 -0.33
04/01/2017 -0.56 -0.8 -1.14 -1.11 -1.41 -0.2
05/01/2017 -0.31 -1.26 -0.93 -1.37 -1.46 -0.37
06/01/2017 -0.69 -1.08 -1.4 -1.49 -1.62 -0.35
07/01/2017 0.7 -0.46 -1.03 -1.41 -1.51 -0.24
08/01/2017 -0.27 -0.37 -1.26 -1.03 -1.41 -0.62
09/01/2017 -1.18 -0.57 -1.27 -1.59 -1.63 -1.03
10/01/2017 0.84 0.31 -0.35 -1.04 -1.48 -1.54
11/01/2017 -0.8 -0.24 -0.61 -1.49 -1.35 -1.36
12/01/2017 -0.98 -0.44 -0.77 -1.48 -1.92 -1.52
01/01/2018 0.43 -1.01 -0.81 -0.95 -1.55 -1.56
02/01/2018 0.28 -0.29 -0.59 -0.76 -1.51 -1.46
03/01/2018 -0.86 -0.23 -0.67 -0.87 -1.41 -1.61
04/01/2018 -0.24 -0.81 -1.31 -1.23 -1.34 -2.06
05/01/2018 0.54 -0.5 -0.66 -1.07 -1.21 -2.02
06/01/2018 0.46 0.11 -0.18 -0.71 -0.89 -1.99
07/01/2018 0.12 0.37 -0.38 -0.99 -1.03 -1.96
08/01/2018 -0.42 0.04 -0.47 -0.64 -0.99 -1.91
09/01/2018 0.43 -0.25 -0.07 -0.31 -0.81 -1.91
10/01/2018 0.01 -0.23 0 -0.72 -1.35 -2.03
11/01/2018 0.06 -0.16 -0.32 -0.73 -0.91 -1.44
12/01/2018 1.48 0.55 0.36 0.26 0.01 -1.22
01/01/2019 0.67 0.94 0.64 0.6 0.07 -0.94
02/01/2019 1.14 1.91 1.08 0.81 0.37 -0.76
03/01/2019 0.87 1.14 1.24 1.06 0.87 -0.34
04/01/2019 -0.3 0.73 1.11 0.93 0.88 -0.27
05/01/2019 -0.81 -0.3 1.02 0.69 0.5 -0.53
06/01/2019 0.19 -0.86 0.27 0.56 0.4 -0.41
07/01/2019 -1.42 -0.83 -0.06 0.5 0.32 -0.56
08/01/2019 0.04 -0.36 -0.5 0.61 0.34 -0.53
09/01/2019 0.84 0.02 -0.84 0.19 0.45 -0.3
10/01/2019 1.11 1.14 0.18 0.61 1.07 -0.14
11/01/2019 -0.34 0.58 0.24 -0.11 0.86 -0.02
12/01/2019 -1.51 -0.05 -0.17 -0.82 0.02 -0.03
01/01/2020 0.37 -0.88 0.08 -0.48 -0.08 -0.05
02/01/2020 0.29 -0.46 0.17 -0.11 -0.36 -0.04
03/01/2020 -1.14 -0.36 -0.44 -0.48 -0.96 -0.05
04/01/2020 0.73 -0.04 -0.67 -0.02 -0.5 0.26
05/01/2020 -0.02 -0.19 -0.5 -0.12 -0.36 0.04
06/01/2020 -0.17 0.22 -0.18 -0.41 -0.45 -0.09
07/01/2020 0.23 -0.28 -0.34 -0.89 -0.36 -0.08
08/01/2020 0.93 0.05 -0.24 -0.51 -0.2 0.05
09/01/2020 -0.08 0.06 0.13 -0.23 -0.44 -0.04
10/01/2020 0.36 0.25 -0.26 -0.37 -0.98 0.08
11/01/2020 1.29 0.96 0.79 0.47 0.16 0.59
12/01/2020 1.4 1.54 1.49 1.3 0.94 0.6
01/01/2021 -0.77 1.46 1.44 0.86 0.75 0.39
02/01/2021 0.24 0.75 1.29 0.99 0.71 0.2
03/01/2021 -0.88 -0.77 0.92 0.82 0.72 -0.17
04/01/2021 -2.02 -1.86 0.21 0.22 -0.04 -0.45
05/01/2021 -1.01 -2.63 -1.34 -0.39 -0.45 -0.66
