station_id,station_name,region_id,region_name,lat,lon,station_elevation,data,tmax_m,tmax_max,tmax_min,tmin_m,tmin_min,tmin_max,ntmin_0,rrr24,sshn,tm_m,t_03_m,t_09_m,t_15_m
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,1/1/2007 12:00:00 AM,1.8,10,-3.4,-13.471,-23,-3,31,14.34,142.4,-5.83548,-10.1742,-0.174194,-4.02581
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,2/1/2007 12:00:00 AM,3.85714,8.4,-5.4,-4.95714,-12,0.6,26,6.26,144.9,-0.55,-3.87857,1.75,0.0285714
40717,Khalkhal,OITL,Ardebil,37.609,48.538,1797.4,3/1/2007 12:00:00 AM,5.92903,12.6,0,-3.05806,-9.2,4,26,64.67,153.6,1.43548,-2.06452,3.76129,2.43871
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,1/1/2007 12:00:00 AM,4.92258,13.6,-6.4,-10.6452,-22.8,0.2,30,5.12,174.9,-2.86129,-7.44516,2.48387,-0.664516
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,2/1/2007 12:00:00 AM,5.97143,13.8,-6.4,-5.20714,-13.6,0.6,26,32.02,164.8,0.382143,-3.47143,3.64286,1.07143
88107,Ardebil (Airport),OITL,Ardebil,38.33,48.417,1314.3,3/1/2007 12:00:00 AM,7.74839,17.2,-1,-2.52903,-7,7.8,27,47.49,145.3,2.60968,-1.73548,5.94839,2.4
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,1/1/2007 12:00:00 AM,12.3484,25.4,5.2,-0.76129,-5.2,7,22,0.9,169.5,5.79355,1.25161,9.99355,6.04516
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,2/1/2007 12:00:00 AM,11.1357,18.4,1.2,-0.392857,-9.6,3.4,15,15.4,141,5.37143,1.07857,8.62143,7.07143
40700,Parsabad,OITL,Ardebil,39.608,47.877,72.6,3/1/2007 12:00:00 AM,12.7355,18.2,8.4,3.27097,-3.8,7.4,5,21,124,8.00323,4.01935,10.1548,9.89677
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,1/1/2007 12:00:00 AM,1.28387,9.2,-6.4,-7.79355,-18.6,2.8,29,29.84,123.4,-3.25484,-5.70968,-1.00645,-2.18065
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,2/1/2007 12:00:00 AM,7.12143,13.2,2,-1.01429,-5.6,5.6,18,64.51,141.2,3.05357,-0.0571429,4.41429,3.57143
40726,Mahabad,OITR,Azarbayjan-e-Gharbi,36.753,45.715,1351.8,3/1/2007 12:00:00 AM,10.8774,15.2,4.2,1.26452,-4,8.2,9,45.02,180.1,6.07097,2.27097,8.69032,7.90323
