ds,precip,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SPI_24,station_id
1999-12-01,2.82,-0.8158521722790751,-0.33077787132792075,-1.5844616409604368,-1.5335000318632404,-1.4584814027354622,-1.51293522618802,40712
2000-01-01,25.65,0.3960801075436893,-0.2880141930693446,-1.0230350722688784,-1.6018791866658348,-1.3663647891636623,-1.6335125061206126,40712
2000-02-01,18.69,0.16132270652725714,-0.18268553706821777,-0.7476170372547338,-1.8844683014754164,-1.4232781732478543,-1.577054950593374,40712
2000-03-01,41.14,0.8006939908341039,0.40806408092088337,-0.17511127751150918,-1.2040642915856727,-1.258323735900684,-1.6768313618007464,40712
2000-04-01,42.65,0.834597519551408,0.6125896336068793,0.07372700410980264,-0.5652494880260058,-1.0635973129116383,-1.826316711315397,40712
2000-05-01,2.81,-0.8171610421225801,0.4223232357720687,-0.06201505154621504,-0.5807495628751069,-1.511133926826624,-2.0540029187942808,40712
2000-06-01,5.0,-0.5825642692676734,-0.12097342720228885,-0.03352190306159532,-0.5667965148950926,-1.5112916201196058,-2.0060149378748156,40712
2000-07-01,0.0,-1.6504481369357007,-1.4642080836260571,-0.390867483804687,-0.9157665759149779,-1.5289909599447329,-2.047203671172982,40712
2000-08-01,0.0,-1.6504481369357007,-1.703650327445753,-0.68909147814233,-1.1307332004900617,-1.5913759877839717,-2.047203671172982,40712
2000-09-01,1.1,-1.110419636329017,-2.3455829482178423,-1.5148311533767111,-1.1593349328370781,-1.6384223758899774,-2.0956901059708852,40712
2000-10-01,18.64,0.15944621007350382,-0.8781742538944768,-2.280870820061695,-1.2785622187451335,-1.7203704064614926,-1.913979340913809,40712
2000-11-01,53.7,1.0627193314483816,0.24628735054323775,-0.9256237476508707,-0.7214346021295059,-1.100282104917367,-1.4347793181554813,40712
2000-12-01,21.24,0.25300467232944096,0.5085552279513503,-0.6372129492973544,-1.0267442461969585,-0.8437596471055581,-1.4506348253236636,40712
2001-01-01,25.34,0.38656381252800603,0.5874404877643825,-0.2492511367307727,-1.3169043282237691,-0.847958537140665,-1.4011221618689453,40712
2001-02-01,18.44,0.151907359319225,0.122254501608432,-0.0009660861547068746,-1.0538140949591488,-0.8513475519827884,-1.4356540854742579,40712
2001-03-01,30.49,0.5360035921127095,0.257985291768407,0.3523586619501162,-0.6644653351411403,-0.9981213707574582,-1.4335548844521873,40712
2001-04-01,24.53,0.3613418723576303,0.24657026796611387,0.41810790618501353,-0.3261522869462627,-1.2595127418443064,-1.4749915334614163,40712
2001-05-01,22.95,0.31056270408600833,0.3090944845917503,0.05656845073586239,-0.035022821861581614,-0.9699134401364939,-1.561892447202077,40712
2001-06-01,2.0,-0.9351816287318825,-0.13900005141250532,-0.1970416961655005,-0.02403836743069284,-1.011870601400186,-1.5889283123194315,40712
