station_name,year,yearly_class
Sarab,2008,BWh - Hot desert
Sarab,2009,BWk - Cold desert
Sarab,2010,BWk - Cold desert
Sarab,2011,ET - Tundra
Sarab,2012,Cfa - Humid subtropical
Sarab,2013,BWk - Cold desert
Sarab,2014,Cfa - Humid subtropical
Sarab,2015,BWk - Cold desert
Sarab,2016,Dfb - Cold humid
Sarab,2017,Aw - Tropical savanna
Sarab,2018,Aw - Tropical savanna
Sarab,2019,Dfb - Cold humid
Sarab,2020,ET - Tundra
Sarab,2021,BWk - Cold desert
Sarab,2022,Aw - Tropical savanna
Sarab,2023,Aw - Tropical savanna
Sarab,2024,BWk - Cold desert
Tabriz,1990,Aw - Tropical savanna
Tabriz,1991,Aw - Tropical savanna
Tabriz,1992,Aw - Tropical savanna
Tabriz,1993,Cfa - Humid subtropical
Tabriz,1994,Cfa - Humid subtropical
Tabriz,1995,BWk - Cold desert
Tabriz,1996,Aw - Tropical savanna
Tabriz,1997,Aw - Tropical savanna
Tabriz,1998,Aw - Tropical savanna
Tabriz,1999,Aw - Tropical savanna
Tabriz,2000,Aw - Tropical savanna
Tabriz,2001,Aw - Tropical savanna
Tabriz,2002,Aw - Tropical savanna
Tabriz,2003,Dfb - Cold humid
Tabriz,2004,Aw - Tropical savanna
Tabriz,2005,Aw - Tropical savanna
Tabriz,2006,Aw - Tropical savanna
Tabriz,2007,Aw - Tropical savanna
Tabriz,2008,Aw - Tropical savanna
Tabriz,2009,Aw - Tropical savanna
Tabriz,2010,Aw - Tropical savanna
Tabriz,2011,Aw - Tropical savanna
Tabriz,2012,Aw - Tropical savanna
Tabriz,2013,Cfa - Humid subtropical
Tabriz,2014,Aw - Tropical savanna
Tabriz,2015,Aw - Tropical savanna
Tabriz,2016,Aw - Tropical savanna
Tabriz,2017,Aw - Tropical savanna
Tabriz,2018,Cfa - Humid subtropical
Tabriz,2019,Aw - Tropical savanna
Tabriz,2020,Aw - Tropical savanna
Tabriz,2021,Aw - Tropical savanna
Tabriz,2022,BWk - Cold desert
Tabriz,2023,Aw - Tropical savanna
Tabriz,2024,Cfa - Humid subtropical
