date,spi_deseason
2054-09-01,-0.2855596
2054-10-01,0.546504
2054-11-01,0.61226976
2054-12-01,1.0896972
2055-01-01,0.74831516
2055-02-01,0.80912197
2055-03-01,0.37144834
2055-04-01,0.4929847
2055-05-01,0.8715539
2055-06-01,0.83401316
2055-07-01,0.59382766
2055-08-01,0.3641228
2055-09-01,0.7519908
2055-10-01,1.2541881
2055-11-01,1.1489084
2055-12-01,0.6838388
2056-01-01,0.7469008
2056-02-01,1.0714185
2056-03-01,0.9664697
2056-04-01,0.19523181
2056-05-01,0.08972405
2056-06-01,0.52616024
2056-07-01,0.15596716
2056-08-01,-0.03752511
2056-09-01,-0.13405618
2056-10-01,0.6594102
2056-11-01,1.4080327
2056-12-01,1.7664535
2057-01-01,1.5261636
2057-02-01,0.6954663
2057-03-01,0.19520725
2057-04-01,0.32960898
2057-05-01,1.042576
2057-06-01,0.9420237
2057-07-01,0.4467014
2057-08-01,-0.24044085
2057-09-01,0.068256095
2057-10-01,0.21215339
2057-11-01,-0.19250332
2057-12-01,-0.68128926
2058-01-01,-1.604296
2058-02-01,-1.4663223
2058-03-01,-1.2212402
2058-04-01,-0.8875428
2058-05-01,-0.33486223
2058-06-01,-0.08534749
2058-07-01,0.039510056
2058-08-01,-0.07226819
2058-09-01,-0.22539611
2058-10-01,-0.10509437
2058-11-01,-0.23913948
2058-12-01,-0.24536778
